domain,avsvmcloud.com,C2 
file_path,%PROGRAMFILES%\SolarWinds\Orion\SolarWinds.Orion.Core.BusinessLayer.dll,
file_path,C:\Program Files\SolarWinds\Orion\SolarWinds.Orion.Core.BusinessLayer.dll,
file_path,C:\Program Files (x86)\SolarWinds\Orion\SolarWinds.Orion.Core.BusinessLayer.dll,
file_path,%WINDIR%\System32\config\systemprofile\AppData\Local\assembly\tmp\*\SolarWinds.Orion.Core.BusinessLayer.dll,
sha256,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,Troj/Agent-BGFZ
sha256,dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b, 
sha256,eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed,
sha256,c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77,
sha256,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134,Troj/Agent-BGGA
sha256,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6,Troj/Agent-BGGB
sha256,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc,SUPERAntiSpyware
sha256,d3c6785e18fba3749fb785bc313cf8346182f532c59172b69adfb31b96a5d0af
